test_loc,test_name,ref_loc,ref_name,method,TSM,MeanOS,MedianOS,std,MeanOS_RAW,MedianOS_RAW,std_RAW
Sets/1/,C_minor_Aeolian_PV_IPL_166.7_per.wav,Source/Music/,C_minor_Aeolian.wav,IPL,166.7,3.7187,3.8102,0.8254,3.7574,3.9498,0.82445
Sets/1/,Child_1_FESOLA_78.21_per.wav,Source/Voice/,Child_1.wav,FESOLA,78.21,4.1025,4.1547,0.36355,4.2154,4.2287,0.50715
Sets/1/,Child_1_HPTSM_166.7_per.wav,Source/Voice/,Child_1.wav,HPTSM,166.7,4.3797,4.3439,0.64795,4.4316,4.5702,0.61019
Sets/1/,Child_1_PV_99.61_per.wav,Source/Voice/,Child_1.wav,PV,99.61,4.9383,4.938,0.5869,4.8006,4.9259,0.36556
Sets/1/,Child_1_WSOLA_78.21_per.wav,Source/Voice/,Child_1.wav,WSOLA,78.21,4.0748,4.053,0.68324,3.9223,4.0749,0.80227
Sets/1/,Child_2_uTVS_166.7_per.wav,Source/Voice/,Child_2.wav,uTVS,166.7,3.731,3.6671,0.53921,3.8844,3.7693,0.74168
Sets/1/,Child_3_HPTSM_44.27_per.wav,Source/Voice/,Child_3.wav,HPTSM,44.27,2.3031,2.4215,0.51175,2.4421,2.4156,0.58562
Sets/1/,Child_3_uTVS_99.61_per.wav,Source/Voice/,Child_3.wav,uTVS,99.61,2.4087,2.1432,1.1719,2.3976,1.9299,1.4269
Sets/1/,Chiptune_PV_44.27_per.wav,Source/Music/,Chiptune.wav,PV,44.27,2.6946,2.8178,0.71394,2.7713,3.036,0.80993
Sets/1/,Chiptune_PV_IPL_53.83_per.wav,Source/Music/,Chiptune.wav,IPL,53.83,3.9129,3.9232,0.56713,4.096,4.0413,0.70399
Sets/1/,Choral_PV_IPL_38.38_per.wav,Source/Voice/,Choral.wav,IPL,38.38,1.5377,1.6012,0.30579,1.7329,1.8176,0.60008
Sets/1/,Choral_PV_IPL_82.58_per.wav,Source/Voice/,Choral.wav,IPL,82.58,4.31,4.1981,0.52847,4.4131,4.5753,0.47837
Sets/1/,Dorothy_2_FESOLA_138.1_per.wav,Source/Music/,Dorothy_2.wav,FESOLA,138.1,4.5322,4.4586,0.43262,4.6404,4.7348,0.35927
Sets/1/,Drums_2_FESOLA_166.7_per.wav,Source/Solo/,Drums_2.wav,FESOLA,166.7,4.4073,4.326,0.43562,4.4154,4.2884,0.35483
Sets/1/,Drums_2_WSOLA_138.1_per.wav,Source/Solo/,Drums_2.wav,WSOLA,138.1,4.5157,4.5983,0.50326,4.4252,4.3966,0.46896
Sets/1/,Drums_2_WSOLA_53.83_per.wav,Source/Solo/,Drums_2.wav,WSOLA,53.83,2.0101,1.7654,0.58873,1.9783,1.8734,0.57355
Sets/1/,E_piano_1_PV_IPL_82.58_per.wav,Source/Solo/,E_piano_1.wav,IPL,82.58,3.143,2.9561,1.0636,2.9537,2.5534,1.1343
Sets/1/,Electropop_6_PV_82.58_per.wav,Source/Music/,Electropop_6.wav,PV,82.58,3.271,3.1781,0.73593,3.166,3.1718,0.53909
Sets/1/,Electropop_6_PV_IPL_65.24_per.wav,Source/Music/,Electropop_6.wav,IPL,65.24,3.2066,3.2802,0.4789,3.4468,3.3938,0.64816
Sets/1/,Farmacist_2_FESOLA_138.1_per.wav,Source/Voice/,Farmacist_2.wav,FESOLA,138.1,4.0311,4.0751,0.93546,3.8587,4.0975,1.0589
Sets/1/,Farmacist_2_uTVS_53.83_per.wav,Source/Voice/,Farmacist_2.wav,uTVS,53.83,2.3691,2.405,0.81456,2.1553,2.0686,0.92095
Sets/1/,Female_1_HPTSM_166.7_per.wav,Source/Voice/,Female_1.wav,HPTSM,166.7,3.7527,3.9958,0.50784,3.6837,3.9983,0.55555
Sets/1/,Female_11_FESOLA_65.24_per.wav,Source/Voice/,Female_11.wav,FESOLA,65.24,2.7967,2.7983,0.59555,2.9895,2.9768,0.69585
Sets/1/,Female_11_WSOLA_138.1_per.wav,Source/Voice/,Female_11.wav,WSOLA,138.1,4.4022,4.4828,0.47391,4.5285,4.6371,0.39147
Sets/1/,Female_12_FESOLA_53.83_per.wav,Source/Voice/,Female_12.wav,FESOLA,53.83,2.4538,2.1431,0.66454,2.3387,2.3243,0.62128
Sets/1/,Female_12_HPTSM_53.83_per.wav,Source/Voice/,Female_12.wav,HPTSM,53.83,2.8191,2.5953,0.83927,2.9873,2.9807,0.54648
Sets/1/,Female_12_WSOLA_192.4_per.wav,Source/Voice/,Female_12.wav,WSOLA,192.4,4.1684,4.414,0.98632,4.1675,4.466,0.92166
Sets/1/,Female_5_FESOLA_38.38_per.wav,Source/Voice/,Female_5.wav,FESOLA,38.38,1.9767,1.8513,0.55656,1.8112,1.452,0.79124
Sets/1/,Female_5_FESOLA_99.61_per.wav,Source/Voice/,Female_5.wav,FESOLA,99.61,4.5951,4.7461,0.45778,4.4795,4.7066,0.58972
Sets/1/,Female_5_HPTSM_82.58_per.wav,Source/Voice/,Female_5.wav,HPTSM,82.58,3.7652,3.9063,0.91034,3.7778,3.8218,0.90429
Sets/1/,Female_6_uTVS_38.38_per.wav,Source/Voice/,Female_6.wav,uTVS,38.38,2.034,1.9125,0.67001,2.2346,2.1569,0.63389
Sets/1/,Female_8_FESOLA_138.1_per.wav,Source/Voice/,Female_8.wav,FESOLA,138.1,3.3206,3.4623,0.33119,3.4774,3.726,0.47312
Sets/1/,Female_8_FESOLA_53.83_per.wav,Source/Voice/,Female_8.wav,FESOLA,53.83,1.8494,1.8244,0.46284,2.0402,2.0136,0.60695
Sets/1/,Female_8_uTVS_166.7_per.wav,Source/Voice/,Female_8.wav,uTVS,166.7,4.2519,4.3345,0.54641,4.3391,4.3135,0.50471
Sets/1/,Female_9_FESOLA_99.61_per.wav,Source/Voice/,Female_9.wav,FESOLA,99.61,4.8243,4.9312,0.2683,4.7797,4.932,0.378
Sets/1/,Female_9_HPTSM_99.61_per.wav,Source/Voice/,Female_9.wav,HPTSM,99.61,4.9948,5,0.11844,4.8802,4.888,0.12053
Sets/1/,Female_9_WSOLA_192.4_per.wav,Source/Voice/,Female_9.wav,WSOLA,192.4,4.2682,4.4239,0.60902,4.2852,4.7172,0.68361
Sets/1/,Female_BV_1_FESOLA_82.58_per.wav,Source/Voice/,Female_BV_1.wav,FESOLA,82.58,2.2986,2.1662,0.47728,2.5908,2.7066,0.50789
Sets/1/,Female_BV_1_HPTSM_44.27_per.wav,Source/Voice/,Female_BV_1.wav,HPTSM,44.27,3.5081,3.409,0.41538,3.5523,3.3784,0.61145
Sets/1/,Female_BV_1_PV_192.4_per.wav,Source/Voice/,Female_BV_1.wav,PV,192.4,2.3306,2.4,0.7326,2.6545,2.7831,0.52768
Sets/1/,Female_BV_2_FESOLA_78.21_per.wav,Source/Voice/,Female_BV_2.wav,FESOLA,78.21,1.9709,2.0207,0.56166,1.9291,1.9808,0.57834
Sets/1/,Female_BV_2_HPTSM_166.7_per.wav,Source/Voice/,Female_BV_2.wav,HPTSM,166.7,3.5087,3.3992,0.44108,3.5102,3.5412,0.47534
Sets/1/,Female_BV_2_HPTSM_38.38_per.wav,Source/Voice/,Female_BV_2.wav,HPTSM,38.38,2.4347,2.7457,0.70963,2.5719,2.7838,0.69676
Sets/1/,Female_BV_2_PV_IPL_78.21_per.wav,Source/Voice/,Female_BV_2.wav,IPL,78.21,4.2753,4.5867,0.68129,4.2161,4.3678,0.70709
Sets/1/,Female_opera_FESOLA_38.38_per.wav,Source/Voice/,Female_opera.wav,FESOLA,38.38,1.5579,1.8317,0.59091,1.8542,1.8725,0.79467
Sets/1/,Female_opera_uTVS_38.38_per.wav,Source/Voice/,Female_opera.wav,uTVS,38.38,3.5738,3.7476,0.93979,3.6101,3.7384,0.99818
Sets/1/,Female_opera_uTVS_65.24_per.wav,Source/Voice/,Female_opera.wav,uTVS,65.24,4.2408,4.2208,0.88729,4.103,4.185,0.67816
Sets/1/,Female_opera_WSOLA_166.7_per.wav,Source/Voice/,Female_opera.wav,WSOLA,166.7,3.5298,3.4641,0.93235,3.6336,3.546,0.67686
Sets/1/,G_Minor_PV_166.7_per.wav,Source/Music/,G_Minor.wav,PV,166.7,3.4804,3.41,0.91704,3.3776,3.3068,0.91941
Sets/1/,G_Minor_WSOLA_138.1_per.wav,Source/Music/,G_Minor.wav,WSOLA,138.1,4.263,4.4301,0.68226,4.4078,4.4696,0.47498
Sets/1/,Guitar_uTVS_38.38_per.wav,Source/Solo/,Guitar.wav,uTVS,38.38,2.2498,2.0336,0.58503,2.4191,2.1965,0.50868
Sets/1/,I_Believe_it_1_PV_44.27_per.wav,Source/Music/,I_Believe_it_1.wav,PV,44.27,1.7084,1.7633,0.70888,1.892,1.9384,0.72445
Sets/1/,I_Believe_it_1_PV_82.58_per.wav,Source/Music/,I_Believe_it_1.wav,PV,82.58,2.9039,2.6791,0.66593,2.9698,2.7529,0.95129
Sets/1/,I_Believe_it_3_FESOLA_44.27_per.wav,Source/Solo/,I_Believe_it_3.wav,FESOLA,44.27,2.3404,2.3921,0.55039,2.6934,2.6404,0.54934
Sets/1/,I_Believe_it_3_PV_IPL_78.21_per.wav,Source/Solo/,I_Believe_it_3.wav,IPL,78.21,4.5694,4.6747,0.28506,4.5852,4.6402,0.28685
Sets/1/,I_Believe_it_3_uTVS_166.7_per.wav,Source/Solo/,I_Believe_it_3.wav,uTVS,166.7,4.0355,4.2358,0.92691,3.9194,4.251,1.1954
Sets/1/,Jazz_2_HPTSM_65.24_per.wav,Source/Music/,Jazz_2.wav,HPTSM,65.24,3.3034,3.2335,0.50014,3.3266,3.228,0.58534
Sets/1/,Jazz_2_PV_IPL_65.24_per.wav,Source/Music/,Jazz_2.wav,IPL,65.24,3.6052,3.5797,0.58046,3.5963,3.6461,0.95756
Sets/1/,Jazz_2_uTVS_53.83_per.wav,Source/Music/,Jazz_2.wav,uTVS,53.83,3.2361,3.3514,0.49264,3.2497,3.5356,0.72338
Sets/1/,Male_12_FESOLA_65.24_per.wav,Source/Voice/,Male_12.wav,FESOLA,65.24,2.4133,2.2507,0.46103,2.5229,2.6008,0.42753
Sets/1/,Male_12_FESOLA_78.21_per.wav,Source/Voice/,Male_12.wav,FESOLA,78.21,2.3865,2.292,0.30186,2.5643,2.541,0.40423
Sets/1/,Male_12_PV_138.1_per.wav,Source/Voice/,Male_12.wav,PV,138.1,3.1318,2.8652,1.0099,3.187,2.8996,1.2355
Sets/1/,Male_13_HPTSM_44.27_per.wav,Source/Voice/,Male_13.wav,HPTSM,44.27,1.7516,1.9278,0.4137,1.9215,1.9865,0.60643
Sets/1/,Male_15_HPTSM_38.38_per.wav,Source/Voice/,Male_15.wav,HPTSM,38.38,1.7678,1.7713,0.47305,1.7116,1.9228,0.48206
Sets/1/,Male_15_HPTSM_65.24_per.wav,Source/Voice/,Male_15.wav,HPTSM,65.24,2.4304,2.4974,0.4973,2.2906,2.5339,0.69264
Sets/1/,Male_15_WSOLA_166.7_per.wav,Source/Voice/,Male_15.wav,WSOLA,166.7,3.9211,4.2272,0.70811,3.6616,3.7792,0.58573
Sets/1/,Male_18_FESOLA_166.7_per.wav,Source/Voice/,Male_18.wav,FESOLA,166.7,2.7107,2.4184,0.87371,2.8845,2.7386,0.78959
Sets/1/,Male_18_FESOLA_99.61_per.wav,Source/Voice/,Male_18.wav,FESOLA,99.61,4.1816,4.4145,0.93412,4.1383,4.5712,0.99957
Sets/1/,Male_19_HPTSM_78.21_per.wav,Source/Voice/,Male_19.wav,HPTSM,78.21,3.2312,3.0879,0.64517,3.2145,3.0746,0.62649
Sets/1/,Male_19_PV_44.27_per.wav,Source/Voice/,Male_19.wav,PV,44.27,1.5417,1.5929,0.40976,1.5959,1.5019,0.47753
Sets/1/,Male_19_PV_IPL_44.27_per.wav,Source/Voice/,Male_19.wav,IPL,44.27,2.0737,1.9602,0.81283,2.1639,2.0647,1.0899
Sets/1/,Male_19_uTVS_44.27_per.wav,Source/Voice/,Male_19.wav,uTVS,44.27,1.6201,1.4595,0.49515,1.9605,1.9485,0.69833
Sets/1/,Male_19_WSOLA_65.24_per.wav,Source/Voice/,Male_19.wav,WSOLA,65.24,2.8251,2.8048,0.66599,2.8972,2.9614,0.63283
Sets/1/,Male_2_uTVS_78.21_per.wav,Source/Voice/,Male_2.wav,uTVS,78.21,3.3543,3.1249,0.73297,3.2475,3.0077,0.63563
Sets/1/,Male_21_FESOLA_78.21_per.wav,Source/Voice/,Male_21.wav,FESOLA,78.21,2.6063,2.4585,0.55424,2.6663,2.5637,0.59011
Sets/1/,Male_21_PV_IPL_38.38_per.wav,Source/Voice/,Male_21.wav,IPL,38.38,2.4678,2.4732,0.68829,2.512,2.4876,0.45991
Sets/1/,Male_23_FESOLA_99.61_per.wav,Source/Voice/,Male_23.wav,FESOLA,99.61,4.714,4.8806,0.3321,4.69,4.8147,0.31102
Sets/1/,Male_23_HPTSM_78.21_per.wav,Source/Voice/,Male_23.wav,HPTSM,78.21,2.7242,2.9035,0.4694,2.8856,2.9768,0.31119
Sets/1/,Male_5_PV_166.7_per.wav,Source/Voice/,Male_5.wav,PV,166.7,2.3719,2.4651,0.74886,2.2126,2.2219,0.76715
Sets/1/,Male_5_WSOLA_78.21_per.wav,Source/Voice/,Male_5.wav,WSOLA,78.21,4.1581,4.2996,0.55575,4.1608,4.2022,0.62229
Sets/1/,Male_7_HPTSM_38.38_per.wav,Source/Voice/,Male_7.wav,HPTSM,38.38,2.001,2.0175,0.63586,1.9099,1.9168,0.75241
Sets/1/,Male_7_HPTSM_44.27_per.wav,Source/Voice/,Male_7.wav,HPTSM,44.27,2.4012,2.1181,1.2218,2.4499,2.1969,1.2249
Sets/1/,Male_7_HPTSM_82.58_per.wav,Source/Voice/,Male_7.wav,HPTSM,82.58,3.784,3.9938,0.47209,3.8452,3.9555,0.57966
Sets/1/,Male_8_FESOLA_38.38_per.wav,Source/Voice/,Male_8.wav,FESOLA,38.38,1.4797,1.4676,0.5038,1.4483,1.306,0.49653
Sets/1/,Male_8_uTVS_78.21_per.wav,Source/Voice/,Male_8.wav,uTVS,78.21,3.0377,2.8987,0.75419,2.9787,2.893,0.8928
Sets/1/,Male_9_PV_82.58_per.wav,Source/Voice/,Male_9.wav,PV,82.58,2.2648,2.1069,0.43984,2.1797,2.1245,0.47691
Sets/1/,Male_9_PV_IPL_65.24_per.wav,Source/Voice/,Male_9.wav,IPL,65.24,2.4981,2.1288,0.79745,2.3929,2.0229,0.94682
Sets/1/,Male_9_uTVS_192.4_per.wav,Source/Voice/,Male_9.wav,uTVS,192.4,3.8806,3.9691,0.86335,3.7623,3.9552,0.77728
Sets/1/,Male_9_uTVS_78.21_per.wav,Source/Voice/,Male_9.wav,uTVS,78.21,2.3307,2.3029,0.37537,2.2921,2.2806,0.69424
Sets/1/,Male_9_WSOLA_192.4_per.wav,Source/Voice/,Male_9.wav,WSOLA,192.4,4.2419,4.185,0.2946,4.1512,4.0116,0.37143
Sets/1/,Male_sing_1_HPTSM_44.27_per.wav,Source/Voice/,Male_sing_1.wav,HPTSM,44.27,1.6971,1.7637,0.8289,1.7685,1.6517,0.75099
Sets/1/,Male_sing_1_PV_99.61_per.wav,Source/Voice/,Male_sing_1.wav,PV,99.61,4.8882,4.833,0.29971,4.9402,4.9308,0.069806
Sets/1/,Male_sing_1_uTVS_138.1_per.wav,Source/Voice/,Male_sing_1.wav,uTVS,138.1,3.5121,3.043,1.0879,3.5407,2.9576,1.1848
Sets/1/,Male_sing_1_uTVS_65.24_per.wav,Source/Voice/,Male_sing_1.wav,uTVS,65.24,1.8802,1.8639,0.67609,1.987,1.8491,0.71289
Sets/1/,Mexican_Flute_01_FESOLA_53.83_per.wav,Source/Solo/,Mexican_Flute_01.wav,FESOLA,53.83,3.7698,4.1718,0.88347,3.8917,4.166,0.76846
Sets/1/,Music_Box_01_PV_IPL_166.7_per.wav,Source/Solo/,Music_Box_01.wav,IPL,166.7,3.9869,4.1668,0.67916,4.0387,4.209,0.6567
Sets/1/,Music_Box_01_uTVS_53.83_per.wav,Source/Solo/,Music_Box_01.wav,uTVS,53.83,3.6124,3.7154,0.4954,3.5287,3.9517,0.75803
Sets/1/,Oboe_piano_2_FESOLA_192.4_per.wav,Source/Music/,Oboe_piano_2.wav,FESOLA,192.4,2.852,2.9509,0.55762,2.8323,2.9689,0.56906
Sets/1/,Oboe_piano_2_PV_192.4_per.wav,Source/Music/,Oboe_piano_2.wav,PV,192.4,2.4817,2.3495,0.63614,2.2404,2.0818,0.77191
Sets/1/,Oboe_piano_2_uTVS_53.83_per.wav,Source/Music/,Oboe_piano_2.wav,uTVS,53.83,3.1503,2.5272,1.1502,3.1441,2.7226,1.1758
Sets/1/,Oboe_piano_3_PV_138.1_per.wav,Source/Music/,Oboe_piano_3.wav,PV,138.1,4.0569,4.4174,0.98115,4.0229,4.2372,0.88464
Sets/1/,Oboe_piano_3_PV_IPL_38.38_per.wav,Source/Music/,Oboe_piano_3.wav,IPL,38.38,3.4882,3.3783,0.76523,3.516,3.529,0.90375
Sets/1/,Ocarina_01_WSOLA_53.83_per.wav,Source/Solo/,Ocarina_01.wav,WSOLA,53.83,3.8865,3.9426,0.41965,3.819,3.997,0.68629
Sets/1/,Oriental_2_FESOLA_65.24_per.wav,Source/Music/,Oriental_2.wav,FESOLA,65.24,2.4729,2.2638,0.63881,2.5153,2.3591,0.62585
Sets/1/,Oriental_2_HPTSM_78.21_per.wav,Source/Music/,Oriental_2.wav,HPTSM,78.21,3.4928,3.8078,0.91288,3.4834,3.888,1.0798
Sets/1/,Oriental_2_PV_78.21_per.wav,Source/Music/,Oriental_2.wav,PV,78.21,3.6928,3.9153,0.73376,3.5778,3.8135,0.83759
Sets/1/,Oriental_2_PV_IPL_65.24_per.wav,Source/Music/,Oriental_2.wav,IPL,65.24,3.0892,2.8248,0.83381,3.1944,2.9703,0.75748
Sets/1/,Perc_2_FESOLA_38.38_per.wav,Source/Solo/,Perc_2.wav,FESOLA,38.38,1.868,1.749,1.0263,1.98,1.5994,0.93365
Sets/1/,Perc_2_FESOLA_78.21_per.wav,Source/Solo/,Perc_2.wav,FESOLA,78.21,3.7259,3.5506,0.64969,3.6696,3.596,0.7953
Sets/1/,Perc_2_PV_82.58_per.wav,Source/Solo/,Perc_2.wav,PV,82.58,3.0887,3.0397,0.75066,2.9783,2.8558,0.86129
Sets/1/,Perc_2_PV_IPL_44.27_per.wav,Source/Solo/,Perc_2.wav,IPL,44.27,2.1377,2.0168,0.60068,2.3402,2.375,0.631
Sets/1/,Perc_2_PV_IPL_53.83_per.wav,Source/Solo/,Perc_2.wav,IPL,53.83,2.1582,2.0673,0.60003,2.2223,2.2577,0.66106
Sets/1/,Perc_2_uTVS_99.61_per.wav,Source/Solo/,Perc_2.wav,uTVS,99.61,4.0228,4.1112,0.78853,4.0567,4.1372,0.8306
Sets/1/,Perc_2_WSOLA_82.58_per.wav,Source/Solo/,Perc_2.wav,WSOLA,82.58,3.1081,3.0201,1.0551,2.9876,3.0441,0.6896
Sets/1/,Percussion_PV_192.4_per.wav,Source/Solo/,Percussion.wav,PV,192.4,4.0688,4.2153,0.58522,4.0379,4.018,0.59696
Sets/1/,Piano_Allegro_FESOLA_53.83_per.wav,Source/Solo/,Piano_Allegro.wav,FESOLA,53.83,1.3588,1.463,0.58766,1.5902,1.5316,0.52117
Sets/1/,Piano_Turkish_HPTSM_44.27_per.wav,Source/Solo/,Piano_Turkish.wav,HPTSM,44.27,3.1952,3.1989,1.1247,3.2212,3.4094,1.0787
Sets/1/,Piano_Turkish_HPTSM_53.83_per.wav,Source/Solo/,Piano_Turkish.wav,HPTSM,53.83,3.5208,3.3287,0.85407,3.6631,3.4856,0.73818
Sets/1/,Piano_Turkish_HPTSM_82.58_per.wav,Source/Solo/,Piano_Turkish.wav,HPTSM,82.58,3.6232,3.7688,0.80408,3.6291,4.0086,0.98399
Sets/1/,Piano_Turkish_HPTSM_99.61_per.wav,Source/Solo/,Piano_Turkish.wav,HPTSM,99.61,4.1719,4.3464,0.7646,4.0662,4.0545,0.78198
Sets/1/,Piano_Turkish_PV_IPL_192.4_per.wav,Source/Solo/,Piano_Turkish.wav,IPL,192.4,4.226,4.1941,0.64645,4.1169,4.1724,0.56464
Sets/1/,Piano_Turkish_PV_IPL_99.61_per.wav,Source/Solo/,Piano_Turkish.wav,IPL,99.61,4.6116,4.8301,0.85659,4.3682,4.6801,0.77483
Sets/1/,Piano_Turkish_WSOLA_82.58_per.wav,Source/Solo/,Piano_Turkish.wav,WSOLA,82.58,3.8322,3.7719,0.68383,3.7839,3.931,0.72397
Sets/1/,Saxophones_1_FESOLA_166.7_per.wav,Source/Music/,Saxophones_1.wav,FESOLA,166.7,3.8526,3.9844,1.0821,3.7213,3.8976,1.2084
Sets/1/,Saxophones_1_PV_166.7_per.wav,Source/Music/,Saxophones_1.wav,PV,166.7,3.9915,4.382,0.88787,3.9592,4.2336,0.95298
Sets/1/,Saxophones_1_PV_53.83_per.wav,Source/Music/,Saxophones_1.wav,PV,53.83,2.8915,3.0805,0.66031,2.7188,2.9787,0.8236
Sets/1/,Saxophones_1_uTVS_82.58_per.wav,Source/Music/,Saxophones_1.wav,uTVS,82.58,4.5097,4.6639,0.33464,4.3878,4.4212,0.27896
Sets/1/,Saxophones_1_WSOLA_192.4_per.wav,Source/Music/,Saxophones_1.wav,WSOLA,192.4,4.6257,4.7475,0.36074,4.7136,4.7568,0.2759
Sets/1/,Saxophones_1_WSOLA_82.58_per.wav,Source/Music/,Saxophones_1.wav,WSOLA,82.58,4.5696,4.622,0.42477,4.5678,4.6911,0.43518
Sets/1/,Saxophones_3_FESOLA_166.7_per.wav,Source/Music/,Saxophones_3.wav,FESOLA,166.7,4.0634,4.1897,0.33016,4.1884,4.1775,0.38021
Sets/1/,Saxophones_3_PV_IPL_192.4_per.wav,Source/Music/,Saxophones_3.wav,IPL,192.4,4.3018,4.2644,0.31643,4.3439,4.166,0.39217
Sets/1/,Saxophones_3_WSOLA_38.38_per.wav,Source/Music/,Saxophones_3.wav,WSOLA,38.38,2.5625,2.5009,0.3531,2.5693,2.6317,0.47292
Sets/1/,Saxophones_4_PV_IPL_53.83_per.wav,Source/Solo/,Saxophones_4.wav,IPL,53.83,4.3347,4.5316,0.54009,4.2733,4.5062,0.72316
Sets/1/,Saxophones_4_PV_IPL_78.21_per.wav,Source/Solo/,Saxophones_4.wav,IPL,78.21,4.3922,4.7385,0.80941,4.4118,4.7452,0.73895
Sets/1/,Saxophones_4_WSOLA_192.4_per.wav,Source/Solo/,Saxophones_4.wav,WSOLA,192.4,4.5449,4.5119,0.30094,4.6865,4.7846,0.31525
Sets/1/,Shaker_01_HPTSM_38.38_per.wav,Source/Solo/,Shaker_01.wav,HPTSM,38.38,2.6403,2.3794,0.63992,2.715,2.5676,0.73895
Sets/1/,Shaker_01_HPTSM_82.58_per.wav,Source/Solo/,Shaker_01.wav,HPTSM,82.58,4.4259,4.7343,0.86705,4.3684,4.6455,0.85308
Sets/1/,Shaker_01_uTVS_166.7_per.wav,Source/Solo/,Shaker_01.wav,uTVS,166.7,4.0537,4.1297,0.54966,4.1328,4.2461,0.54513
Sets/1/,Solo_flute_3_PV_IPL_138.1_per.wav,Source/Solo/,Solo_flute_3.wav,IPL,138.1,4.1272,4.2862,0.55126,4.0668,4.2819,0.58846
Sets/1/,Solo_flute_3_PV_IPL_65.24_per.wav,Source/Solo/,Solo_flute_3.wav,IPL,65.24,4.2606,4.092,0.46114,4.093,4.1712,0.66359
Sets/1/,Solo_flute_3_WSOLA_38.38_per.wav,Source/Solo/,Solo_flute_3.wav,WSOLA,38.38,2.4939,2.6262,0.78395,2.7588,2.7143,0.52342
